1385,"Pond's Dream flower Fragrant Talc, Pink Lilly - 400 gm - ₹199",,199,230,
1386,"Vaseline Intensive Care Advanced Repair Body Lotion",,,,"Skin Care > Body Care"
1387,"Vaseline Intensive Care Advanced Repair Body Lotion - 100 ml - ₹111",,111,140,
1388,"Olay Total Effects 7 in 1 Lightweight Anti Ageing Moisturizer Cream SPF 15",,,,"Skin Care > Body Care"
1389,"Olay Total Effects 7 in 1 Lightweight Anti Ageing Moisturizer Cream SPF 15 - 20 gm - ₹389",,389,399,
1390,"Vaseline Cocoa glow moisturizing Cream",,,,"Skin Care > Body Care"
1391,"Vaseline Cocoa glow moisturizing Cream - 250 ml - ₹199",,199,230,
1392,"LakmÃ© Peach Milk Soft Creme Moisturizer",,,,"Skin Care > Body Care"
1393,"LakmÃ© Peach Milk Soft Creme Moisturizer - 65 gm (50 gm with 30% extra) - ₹99",,99,100,
1394,"Himalaya Rich Cocoa Butter Body Cream",,,,"Skin Care > Body Care"
1395,"Himalaya Rich Cocoa Butter Body Cream - 200 ml - ₹212",,212,270,
1396,"Axe Signature Temptation Cologne Talc",,,,"Skin Care > Body Care"
1397,"Axe Signature Temptation Cologne Talc - 100 gm - ₹55",,55,70,
1398,"Olay Moisturizing Skin Cream",,,,"Skin Care > Body Care"
1399,"Olay Moisturizing Skin Cream - 50 gm - ₹199",,199,275,
1400,"Pond?s Starlight Talc",,,,"Skin Care > Body Care"
1401,"Pond?s Starlight Talc - 100 gm - ₹88",,88,99,
1402,"Pond's Juliet Rose Body Lotion",,,,"Skin Care > Body Care"
1403,"Pond's Juliet Rose Body Lotion - 300 ml - ₹190",,190,270,
1404,"Vaseline Healthy White Lightening Body Lotion",,,,"Skin Care > Body Care"
1405,"Vaseline Healthy White Lightening Body Lotion - 200 ml - ₹189",,189,210,
1406,"Pond?s Age Miracle Wrinkle Corrector Day Cream SPF 18 PA++",,,,"Skin Care > Body Care"
1407,"Pond?s Age Miracle Wrinkle Corrector Day Cream SPF 18 PA++ - 20 gm - ₹199",,199,225,
1408,"Olay Regenerist Advanced Anti Aging Micro Sculpting Intense Hydration with Hydra Firming Complex Skin Cream",,,,"Skin Care > Body Care"
1409,"Olay Regenerist Advanced Anti Aging Micro Sculpting Intense Hydration with Hydra Firming Complex Skin Cream - 50 gm - ₹1499",,1499,1699,
1410,"Dove Coconut Hand Cream",,,,"Skin Care > Body Care"
1411,"Dove Coconut Hand Cream - 50 gm - ₹199",,199,299,
1412,"Fair & Lovely Ayurvedic Care Face Cream",,,,"Skin Care > Body Care"
1413,"Fair & Lovely Ayurvedic Care Face Cream - 50 gm - ₹99",,99,125,
1414,"Nivea Oil in Lotion Cocoa Nourish",,,,"Skin Care > Body Care"
1415,"Nivea Oil in Lotion Cocoa Nourish - 200 ml - ₹390",,290,390,
1416,"Himalaya Herbals Intensive Body Lotion, Cocoa Butter",,,,"Skin Care > Body Care"
1417,"Himalaya Herbals Intensive Body Lotion, Cocoa Butter - 200 ml - ₹120",,120,150,
1418,"Yardley London English Lavender Moisturising Hand & Body Lotion",,,,"Skin Care > Body Care"
1419,"Yardley London English Lavender Moisturising Hand & Body Lotion - 350 ml (pack of 2) - ₹299",,299,580,
1420,"Nivea Soft Light Moisturizer Chilled Mint",,,,"Skin Care > Body Care"
1421,"Nivea Soft Light Moisturizer Chilled Mint - 100 ml - ₹139",,139,160,
1422,"Fair and Lovely BB Cream",,,,"Skin Care > Body Care"
1423,"Fair and Lovely BB Cream - 18 gm - ₹72",,72,79,
1424,"Cinthol Original Talc",,,,"Skin Care > Body Care"
1425,"Cinthol Original Talc - 300 gm - ₹129",,129,135,
1426,"Pond's Moisturising Cold Cream",,,,"Skin Care > Body Care"
1427,"Pond's Moisturising Cold Cream - 200 ml - ₹221",,221,299,
1428,"Dove Deep Moisturisation Cream",,,,"Skin Care > Body Care"
1429,"Dove Deep Moisturisation Cream - 250 ml - ₹218",,218,299,
1430,"Nivea Oil in Lotion Cocoa Nourish",,,,"Skin Care > Body Care"
1431,"Nivea Oil in Lotion Cocoa Nourish - 200 ml - ₹289",,289,375,
1433,"Dettol Original Hand Wash Liquid Refill",,,,"Personal Care &amp; Baby > Body Cleansing"
1434,"Dettol Original Hand Wash Liquid Refill - 750 ml - ₹99",,99,109,
1435,"Dove Cream Beauty Bathing Bar",,,,"Personal Care &amp; Baby > Body Cleansing"
1436,"Dove Cream Beauty Bathing Bar - 800 gm pack of 8 - ₹299",,299,380,
1437,"Pears Pure & Gentle Bathing Bar",,,,"Personal Care &amp; Baby > Body Cleansing"
1438,"Pears Pure & Gentle Bathing Bar - 125 gm (buy 4 and get 1 free) - ₹199",,199,234,
